package_name,ecosystem,repository_url,license,license_type,is_permissive,repository_age_years,days_since_last_release,releases_count,release_cadence_annual,maintainers_count,contributors_count,total_commits,top_contributor_commits,top_2_contributor_commits,top_contributor_share,top_2_contributor_share,contributor_gini,bus_factor_approx,stars_count,forks_count,subscribers_count,total_issues,open_issues,closed_issues,issue_resolution_ratio,open_issue_ratio,dependencies_count,dev_dependencies_count,downloads_monthly,log_downloads_monthly,dependents_count,log_dependents,blast_radius_score,impact_tier,is_deprecated,has_test_script,risk_class
react,npm,https://github.com/react/react,MIT,Permissive,1,14.91,14.3,2957,198.32,2,100,8947,1574,2718,0.1759,0.3038,0.7797,16,200439,41607,6643,25023,1139,23884,0.9545,0.0455,0,0,632915294.0,8.8013,20803.0,4.3181,92.58,Critical,0,0,Healthy
vue,npm,https://github.com/vuejs/core,MIT,Permissive,1,12.8,6.6,594,46.41,2,100,4262,2706,3234,0.6349,0.7588,0.8802,5,33643,6059,756,6704,732,5972,0.8908,0.1092,5,0,57002746.0,7.7559,3029.0,3.4814,76.64,Critical,0,0,At-Risk
svelte,npm,https://github.com/sveltejs/svelte,MIT,Permissive,1,9.85,5.0,1092,110.86,3,100,4937,2743,3524,0.5556,0.7138,0.8669,4,64636,3166,876,8004,855,7149,0.8932,0.1068,15,18,19742537.0,7.2954,1583.0,3.1998,70.54,Critical,0,1,At-Risk
next,npm,https://github.com/vercel/next.js,MIT,Permissive,1,15.2,1.3,3953,260.07,4,3500,26000,5126,7809,0.1972,0.3003,0.8441,152,131000,28500,1500,37900,2900,35000,0.9235,0.0765,6,0,197603366.0,8.2958,37.0,1.5798,60.38,Critical,0,0,Healthy
express,npm,https://github.com/expressjs/express,MIT,Permissive,1,15.73,296.1,289,18.37,5,100,4986,3527,4620,0.7074,0.9266,0.9533,2,59136,10028,1729,4845,170,4675,0.9649,0.0351,28,16,459614879.0,8.6624,5014.0,3.7003,85.14,Critical,0,1,At-Risk
fastify,npm,https://github.com/fastify/fastify,MIT,Permissive,1,9.96,7.7,331,33.23,6,100,2718,582,1057,0.2141,0.3889,0.7525,18,25975,1918,295,4247,63,4184,0.9852,0.0148,15,35,44284831.0,7.6463,959.0,2.9823,70.65,Critical,0,1,Healthy
koa,npm,https://github.com/koajs/koa,MIT,Permissive,1,12.88,125.7,125,9.7,11,240,850,155,255,0.1824,0.3,0.6732,70,35200,3200,920,1200,50,1150,0.9583,0.0417,18,5,27338652.0,7.4368,1626.0,3.2114,71.63,Critical,0,1,Healthy
axios,npm,https://github.com/axios/axios,MIT,Permissive,1,12.07,28.7,145,12.01,1,100,1020,334,554,0.3275,0.5431,0.8181,9,97937,10085,1217,5303,322,4981,0.9393,0.0607,4,39,431717343.0,8.6352,5042.0,3.7027,84.98,Critical,0,1,Healthy
got,npm,https://github.com/sindresorhus/got,MIT,Permissive,1,12.49,24.0,201,16.09,1,100,1382,491,919,0.3553,0.665,0.8846,3,12357,863,107,2002,67,1935,0.9665,0.0335,10,40,139067949.0,8.1432,431.0,2.6355,70.41,Critical,0,1,At-Risk
undici,npm,https://github.com/nodejs/undici,MIT,Permissive,1,8.16,0.0,307,37.62,3,100,2028,1396,1562,0.6884,0.7702,0.9004,3,4462,319,50,1743,113,1630,0.9352,0.0648,0,22,646187461.0,8.8104,159.0,2.2041,70.45,Critical,0,1,At-Risk
lodash,npm,https://github.com/lodash/lodash,MIT,Permissive,1,14.42,175.1,117,8.11,1,100,7497,6643,6957,0.8861,0.928,0.9608,1,55066,6730,860,5375,462,4913,0.914,0.086,0,0,615304886.0,8.7891,3365.0,3.5271,84.19,Critical,0,1,At-Risk
chalk,npm,https://github.com/chalk/chalk,MIT,Permissive,1,13.14,59.4,44,3.35,1,55,297,175,210,0.5892,0.7071,0.7756,7,19524,799,139,511,1,510,0.998,0.002,0,11,1849113399.0,9.267,949.0,2.9777,81.69,Critical,0,1,Healthy
commander,npm,https://github.com/tj/commander.js,MIT,Permissive,1,15.11,117.6,124,8.21,2,100,837,383,525,0.4576,0.6272,0.8307,6,24053,1690,234,1836,5,1831,0.9973,0.0027,0,9,1837540044.0,9.2642,1017.0,3.0077,81.99,Critical,0,1,Healthy
yargs,npm,https://github.com/yargs/yargs,MIT,Permissive,1,12.83,3.1,267,20.81,3,100,830,338,378,0.4072,0.4554,0.7191,25,10145,1021,77,2236,342,1894,0.847,0.153,6,22,937218701.0,8.9718,512.0,2.7101,76.86,Critical,0,1,Healthy
typescript,npm,https://github.com/microsoft/TypeScript,Apache-2.0,Permissive,1,13.98,77.3,3834,274.25,7,1200,48000,12259,17413,0.2554,0.3628,0.8853,56,111000,14600,2100,46800,4800,42000,0.8974,0.1026,20,0,1004355023.0,9.0019,5.0,0.7782,56.79,High,0,0,At-Risk
webpack,npm,https://github.com/webpack/webpack,MIT,Permissive,1,14.54,5.5,889,61.14,8,99,9359,5515,6167,0.5893,0.6589,0.856,8,62285,8584,1523,15278,355,14923,0.9768,0.0232,17,103,204113238.0,8.3099,4292.0,3.6328,82.02,Critical,0,1,At-Risk
vite,npm,https://github.com/vitejs/vite,MIT,Permissive,1,6.43,0.0,753,117.11,2,100,4701,1893,2519,0.4027,0.5358,0.8354,10,51296,4440,392,9041,590,8451,0.9347,0.0653,5,56,646926426.0,8.8109,2220.0,3.3465,82.44,Critical,0,0,Healthy
esbuild,npm,https://github.com/evanw/esbuild,MIT,Permissive,1,8.83,46.2,482,54.59,1,95,3465,3316,3329,0.957,0.9608,0.9602,1,34305,950,299,2794,264,2530,0.9055,0.0945,0,0,995721017.0,8.9981,475.0,2.6776,76.7,Critical,0,0,At-Risk
rollup,npm,https://github.com/rollup/rollup,MIT,Permissive,1,11.36,0.0,948,83.45,5,100,4240,2050,3139,0.4835,0.7403,0.903,3,22838,1268,259,4787,420,4367,0.9123,0.0877,1,89,450677133.0,8.6539,634.0,2.8028,75.66,Critical,0,1,At-Risk
prettier,npm,https://github.com/prettier/prettier,MIT,Permissive,1,9.7,0.7,198,20.41,11,100,6553,1489,2656,0.2272,0.4053,0.8634,9,44622,3690,417,13988,1134,12854,0.9189,0.0811,0,0,472473901.0,8.6744,1845.0,3.2662,80.67,Critical,0,1,At-Risk
eslint,npm,https://github.com/eslint/eslint,MIT,Permissive,1,13.22,5.2,430,32.53,2,100,4880,872,1398,0.1787,0.2865,0.7536,17,22026,4019,318,16007,139,15868,0.9913,0.0087,30,58,575060073.0,8.7597,2009.0,3.3032,81.64,Critical,0,1,Healthy
prisma,npm,https://github.com/prisma/prisma-cli,Apache-2.0,Permissive,1,10.31,9.7,9336,905.53,1,100,8865,2164,3831,0.2441,0.4321,0.9141,6,28313,1017,233,12439,2549,9890,0.7951,0.2049,12,8,61873753.0,7.7915,508.0,2.7067,68.76,Critical,0,1,At-Risk
mongoose,npm,https://github.com/Automattic/mongoose,MIT,Permissive,1,15.76,1.3,1018,64.59,3,100,13541,7632,9579,0.5636,0.7074,0.9174,4,25174,3646,495,12664,291,12373,0.977,0.023,7,37,24270058.0,7.3851,1823.0,3.261,71.79,Critical,0,1,At-Risk
zod,npm,https://github.com/colinhacks/zod,MIT,Permissive,1,6.55,10.0,1011,154.35,1,100,286,20,36,0.0699,0.1259,0.4959,46,15200,531,36,1364,129,1235,0.9054,0.0946,0,0,1022521791.0,9.0097,265.0,2.4249,74.13,Critical,0,1,Healthy
dotenv,npm,https://github.com/motdotla/dotenv,BSD-2-Clause,Permissive,1,13.22,1.4,108,8.17,3,56,351,241,270,0.6866,0.7692,0.806,4,16293,810,107,685,45,640,0.9343,0.0657,0,8,645050307.0,8.8096,449.0,2.6532,75.16,Critical,0,1,Healthy
winston,npm,https://github.com/winstonjs/winston,MIT,Permissive,1,15.68,290.7,94,5.99,8,100,1058,526,591,0.4972,0.5586,0.7978,12,19899,1738,223,2254,455,1799,0.7981,0.2019,11,16,91793655.0,7.9628,869.0,2.9395,72.37,Critical,0,1,At-Risk
